phase,metric,value,unit,sample,source_file,evidence_excerpt,status,phase22_registry_sha256,phase23_source_commit,freeze_status
16,Raw point mean date CRPS,1.745684932,degrees Celsius,"365 validation dates, four rules",outputs/v2_completion/phase16_static_benchmark_report.md,"te one unit of weight. - Paired uncertainty intervals resample target dates 10,000 times. ## Overall mean date CRPS - Raw point forecast: 1.745684932 degrees Celsius. - Static Gaussian: 0.911754550 degrees Celsius. - RBF GP, analytical CRPS: 0.877561468 degrees Celsius",VERIFIED,0be291ee6370754385e9bdb1e2758b2840750d46ba1aa1b803d1a205beb6de56,45e9e51300e53bb2e0b637085d41650041e95cde,FROZEN
16,Static Gaussian mean date CRPS,0.911754550,degrees Celsius,"365 validation dates, four rules",outputs/v2_completion/phase16_static_benchmark_report.md,"ls resample target dates 10,000 times. ## Overall mean date CRPS - Raw point forecast: 1.745684932 degrees Celsius. - Static Gaussian: 0.911754550 degrees Celsius. - RBF GP, analytical CRPS: 0.877561468 degrees Celsius. - Matérn-3/2 GP, analytical CRPS: 0.863339999",VERIFIED,0be291ee6370754385e9bdb1e2758b2840750d46ba1aa1b803d1a205beb6de56,45e9e51300e53bb2e0b637085d41650041e95cde,FROZEN
16,RBF GP mean date CRPS,0.877561468,degrees Celsius,"365 validation dates, four rules",outputs/v2_completion/phase16_static_benchmark_report.md,"ll mean date CRPS - Raw point forecast: 1.745684932 degrees Celsius. - Static Gaussian: 0.911754550 degrees Celsius. - RBF GP, analytical CRPS: 0.877561468 degrees Celsius. - Matérn-3/2 GP, analytical CRPS: 0.863339999 degrees Celsius. - RBF GP, frozen legacy Phase 7 CRPS: 0",VERIFIED,0be291ee6370754385e9bdb1e2758b2840750d46ba1aa1b803d1a205beb6de56,45e9e51300e53bb2e0b637085d41650041e95cde,FROZEN
16,Matern 3/2 GP mean date CRPS,0.863339999,degrees Celsius,"365 validation dates, four rules",outputs/v2_completion/phase16_static_benchmark_report.md,"rees Celsius. - Static Gaussian: 0.911754550 degrees Celsius. - RBF GP, analytical CRPS: 0.877561468 degrees Celsius. - Matérn-3/2 GP, analytical CRPS: 0.863339999 degrees Celsius. - RBF GP, frozen legacy Phase 7 CRPS: 0.877561468 degrees Celsius. - Matérn-3/2 GP, frozen legacy Phas",VERIFIED,0be291ee6370754385e9bdb1e2758b2840750d46ba1aa1b803d1a205beb6de56,45e9e51300e53bb2e0b637085d41650041e95cde,FROZEN
16,Matern 3/2 minus static Gaussian CRPS,-0.048414551,degrees Celsius,paired target-date bootstrap,outputs/v2_completion/phase16_static_benchmark_report.md,"attribution results - Static minus raw: -0.833930381 with 95% date-bootstrap interval [-0.946081103, -0.722088774]. - Matérn-3/2 minus static: -0.048414551 with 95% date-bootstrap interval [-0.070800095, -0.026406623]. - Matérn-3/2 minus RBF: -0.014221469 with 95% date-boots",VERIFIED,0be291ee6370754385e9bdb1e2758b2840750d46ba1aa1b803d1a205beb6de56,45e9e51300e53bb2e0b637085d41650041e95cde,FROZEN
16,Matern 3/2 minus RBF CRPS,-0.014221469,degrees Celsius,paired target-date bootstrap,outputs/v2_completion/phase16_static_benchmark_report.md,"-0.722088774]. - Matérn-3/2 minus static: -0.048414551 with 95% date-bootstrap interval [-0.070800095, -0.026406623]. - Matérn-3/2 minus RBF: -0.014221469 with 95% date-bootstrap interval [-0.020771434, -0.007946326]. - Every difference is first-model CRPS minus second-mode",VERIFIED,0be291ee6370754385e9bdb1e2758b2840750d46ba1aa1b803d1a205beb6de56,45e9e51300e53bb2e0b637085d41650041e95cde,FROZEN
17,Target-date deterministic-error share,91.9340,percent of deterministic-error sum of squares,730 weather-only dates by four rules,outputs/v2_completion/phase17_error_missing_support_report.md,.0021 | 0.0864 | | 6h_prior | event_day_open | 0.0156 | 0.0468 | 0.0021 | 0.0901 | ## Error-structure decomposition - Target-date component: 91.9340% of total deterministic-error sum of squares. - Decision-rule component: 0.0048%. - Date-by-rule interaction and remaini,VERIFIED,0be291ee6370754385e9bdb1e2758b2840750d46ba1aa1b803d1a205beb6de56,45e9e51300e53bb2e0b637085d41650041e95cde,FROZEN
17,Unsupported market-period date-rule keys,37,keys,103 settlement dates by four rules,outputs/v2_completion/phase17_error_missing_support_report.md,and market dates: 103. - Theoretical date-rule keys: 412. - Certified supported date-rule keys: 375 across 102 dates. - Unsupported date-rule keys: 37. - Unsupported development-period keys: 36. - Unsupported June keys: 1. - Dates with complete four-rule forecast absenc,VERIFIED,0be291ee6370754385e9bdb1e2758b2840750d46ba1aa1b803d1a205beb6de56,45e9e51300e53bb2e0b637085d41650041e95cde,FROZEN
17,Dates with complete four-rule support,86,dates,market period,outputs/v2_completion/phase17_error_missing_support_report.md,orecast absence: 1. - Dates with partial rule-specific absence: 16. - Dates with any certified forecast support: 102. - Dates with complete four-rule support: 86. - Every derived missing key exactly matches the Phase 8 missing-support registry. - No missing forecast has been imput,VERIFIED,0be291ee6370754385e9bdb1e2758b2840750d46ba1aa1b803d1a205beb6de56,45e9e51300e53bb2e0b637085d41650041e95cde,FROZEN
18,Rules where Matern 3/2 beats static Gaussian,4,rules,chronological validation,outputs/v2_completion/phase18_gp_stability_report.md,3 | -0.04147 | -0.10621 | 0.01826 | | fold_04 | -0.12491 | -0.16330 | -0.08871 | ## Stability counts - Matérn-3/2 has lower mean CRPS than static Gaussian in 4 of 4 decision rules. - Matérn-3/2 has lower mean CRPS than static Gaussian in 3 of 4 validation blocks. - Matérn-3/2 has lower mean CRPS th,VERIFIED,0be291ee6370754385e9bdb1e2758b2840750d46ba1aa1b803d1a205beb6de56,45e9e51300e53bb2e0b637085d41650041e95cde,FROZEN
18,Validation blocks where Matern 3/2 beats static Gaussian,3,blocks,chronological validation,outputs/v2_completion/phase18_gp_stability_report.md,## Stability counts - Matérn-3/2 has lower mean CRPS than static Gaussian in 4 of 4 decision rules. - Matérn-3/2 has lower mean CRPS than static Gaussian in 3 of 4 validation blocks. - Matérn-3/2 has lower mean CRPS than static Gaussian in 12 of 16 rule-by-block cells. - Matérn-3/2 has lower mean CRP,VERIFIED,0be291ee6370754385e9bdb1e2758b2840750d46ba1aa1b803d1a205beb6de56,45e9e51300e53bb2e0b637085d41650041e95cde,FROZEN
18,Rule-by-block cells where Matern 3/2 beats static Gaussian,12,cells,chronological validation,outputs/v2_completion/phase18_gp_stability_report.md,f 4 decision rules. - Matérn-3/2 has lower mean CRPS than static Gaussian in 3 of 4 validation blocks. - Matérn-3/2 has lower mean CRPS than static Gaussian in 12 of 16 rule-by-block cells. - Matérn-3/2 has lower mean CRPS than RBF in 10 of 16 rule-by-block cells. - Matérn-3/2 is the lowest-CRPS model in 9,VERIFIED,0be291ee6370754385e9bdb1e2758b2840750d46ba1aa1b803d1a205beb6de56,45e9e51300e53bb2e0b637085d41650041e95cde,FROZEN
19,Matern 3/2 90 percent central coverage,0.88082,empirical coverage,"365 validation dates, four rules",outputs/v2_completion/phase19_predictive_diagnostics_report.md,"3973 | -0.08288 | 0.00411 | 1.96242 | | Matérn-3/2 GP | 0.80000 | 0.78288 | -0.01712 | -0.05274 | 0.01781 | 3.72867 | | Matérn-3/2 GP | 0.90000 | 0.88082 | -0.01918 | -0.04795 | 0.00822 | 4.78569 | Coverage uncertainty intervals resample complete target dates 10,000 times",VERIFIED,0be291ee6370754385e9bdb1e2758b2840750d46ba1aa1b803d1a205beb6de56,45e9e51300e53bb2e0b637085d41650041e95cde,FROZEN
19,Matern 3/2 standardised-residual lag-one correlation,0.50645,correlation,chronological validation,outputs/v2_completion/phase19_predictive_diagnostics_report.md,er | 95% upper | |---|---|---|---|---|---|---| | RBF GP | 0.51476 | 0.32711 | 0.52365 | 0.21411 | 0.06124 | 0.29057 | | Matérn-3/2 GP | 0.50645 | 0.31934 | 0.51493 | 0.22976 | 0.06949 | 0.30758 | Lag-one uncertainty uses a circular moving-block bootstrap with 7-day blocks,VERIFIED,0be291ee6370754385e9bdb1e2758b2840750d46ba1aa1b803d1a205beb6de56,45e9e51300e53bb2e0b637085d41650041e95cde,FROZEN
19,Matern 3/2 conditional-variance cluster-robust p-value,0.01001,p-value,auxiliary squared-residual regression,outputs/v2_completion/phase19_predictive_diagnostics_report.md,R² | Joint Wald | df | Cluster-robust p-value | |---|---|---|---|---| | RBF GP | 0.02116 | 14.04781 | 10 | 0.17082 | | Matérn-3/2 GP | 0.02710 | 23.20617 | 10 | 0.01001 | The auxiliary regression uses squared standardised residuals as the response. Covariates comprise standardised predi,VERIFIED,0be291ee6370754385e9bdb1e2758b2840750d46ba1aa1b803d1a205beb6de56,45e9e51300e53bb2e0b637085d41650041e95cde,FROZEN
20,Selected GP combination weight,0.489,weight,67 development dates,outputs/v2_completion/phase20_forecast_combination_report.md,"t dates then receive equal weight. June outcomes are excluded from weight selection. ## Selected combination weight - Selected GP weight: 0.489. - Selected market weight: 0.511. - Bootstrap median GP weight: 0.484. - Bootstrap 95% GP-weight interval: [0.148, 0.82",VERIFIED,0be291ee6370754385e9bdb1e2758b2840750d46ba1aa1b803d1a205beb6de56,45e9e51300e53bb2e0b637085d41650041e95cde,FROZEN
20,Selected market combination weight,0.511,weight,67 development dates,outputs/v2_completion/phase20_forecast_combination_report.md,"ight. June outcomes are excluded from weight selection. ## Selected combination weight - Selected GP weight: 0.489. - Selected market weight: 0.511. - Bootstrap median GP weight: 0.484. - Bootstrap 95% GP-weight interval: [0.148, 0.827]. - Post-hoc June oracle GP wei",VERIFIED,0be291ee6370754385e9bdb1e2758b2840750d46ba1aa1b803d1a205beb6de56,45e9e51300e53bb2e0b637085d41650041e95cde,FROZEN
20,Post-hoc June oracle GP weight,0.000,weight,"30 June dates, diagnostic only",outputs/v2_completion/phase20_forecast_combination_report.md,"lected market weight: 0.511. - Bootstrap median GP weight: 0.484. - Bootstrap 95% GP-weight interval: [0.148, 0.827]. - Post-hoc June oracle GP weight: 0.000. This value is diagnostic and was not used for the primary evaluation. Rule-specific development optima are reported a",VERIFIED,0be291ee6370754385e9bdb1e2758b2840750d46ba1aa1b803d1a205beb6de56,45e9e51300e53bb2e0b637085d41650041e95cde,FROZEN
20,Pool minus GP binary Brier,-0.006308,score difference,30 June dates,outputs/v2_completion/phase20_forecast_combination_report.md,elopment-selected pool | Comparator | Metric | Pool minus comparator | 95% lower | 95% upper | |---|---|---|---|---| | gp | binary_brier | -0.006308 | -0.009011 | -0.003492 | | gp | binary_log | -0.024757 | -0.033344 | -0.016094 | | gp | categorical_log | -0.227655 |,VERIFIED,0be291ee6370754385e9bdb1e2758b2840750d46ba1aa1b803d1a205beb6de56,45e9e51300e53bb2e0b637085d41650041e95cde,FROZEN
20,Pool minus market binary Brier,0.002939,score difference,30 June dates,outputs/v2_completion/phase20_forecast_combination_report.md,| categorical_log | -0.227655 | -0.308104 | -0.152393 | | gp | multiclass_brier | -0.069386 | -0.098868 | -0.038782 | | market_normalised | binary_brier | 0.002939 | 0.000302 | 0.005408 | | market_normalised | binary_log | 0.013878 | 0.005988 | 0.020953 | | market_normalised | categ,VERIFIED,0be291ee6370754385e9bdb1e2758b2840750d46ba1aa1b803d1a205beb6de56,45e9e51300e53bb2e0b637085d41650041e95cde,FROZEN
21,Clean-environment phases replayed,6,phases,Phases 15-20,outputs/v2_completion/phase21_reproducibility_report.md,Phase 21 replayed Phases 15-20 in a clean temporary clone and environment.,VERIFIED,0be291ee6370754385e9bdb1e2758b2840750d46ba1aa1b803d1a205beb6de56,45e9e51300e53bb2e0b637085d41650041e95cde,FROZEN
21,Artifacts compared,116,artifacts,Phase 15-20 reproducibility outputs,outputs/v2_completion/phase21_artifact_comparison.csv,Every recorded artifact comparison has status PASSED.,VERIFIED,0be291ee6370754385e9bdb1e2758b2840750d46ba1aa1b803d1a205beb6de56,45e9e51300e53bb2e0b637085d41650041e95cde,FROZEN
21,Maximum finite replay error,0.000e+00,reported numerical difference,finite numerical comparisons,outputs/v2_completion/phase21_reproducibility_report.md,The Phase 21 report records zero maximum finite replay error.,VERIFIED,0be291ee6370754385e9bdb1e2758b2840750d46ba1aa1b803d1a205beb6de56,45e9e51300e53bb2e0b637085d41650041e95cde,FROZEN
