manifest_path,status,bad_status_token,selected_model,selected_family
data/manifests/04_model_selection_manifest.json,DEVELOPMENT_MODEL_SELECTION_COMPLETE,False,pooled_empirical_residual,empirical_residual
data/manifests/05_continuous_calibration_manifest.json,DEVELOPMENT_CONTINUOUS_CALIBRATION_COMPLETE,False,pooled_empirical_residual,empirical_residual
data/manifests/06_locked_prediction_manifest.json,LOCKED_HOLDOUT_AND_EXTERNAL_PREDICTIONS_GENERATED,False,pooled_empirical_residual,empirical_residual
data/manifests/07_continuous_evaluation_manifest.json,LOCKED_CONTINUOUS_EVALUATION_COMPLETE,False,pooled_empirical_residual,empirical_residual
data/manifests/08_event_probability_manifest.json,LOCKED_EVENT_PROBABILITY_CONSTRUCTION_COMPLETE,False,pooled_empirical_residual,empirical_residual
data/manifests/09_probability_calibration_manifest.json,PROBABILITY_CALIBRATION_LOCKED,False,pooled_empirical_residual,empirical_residual
data/manifests/10_categorical_evaluation_manifest.json,LOCKED_CATEGORICAL_EVALUATION_COMPLETE,False,pooled_empirical_residual,empirical_residual
data/manifests/11_market_comparison_manifest.json,COMMON_SUPPORT_MARKET_COMPARISON_COMPLETE,False,pooled_empirical_residual,
data/manifests/12_trading_strategy_manifest.json,TRADING_STRATEGY_LOCKED_AND_EVALUATED,False,,
data/manifests/13_uncertainty_analysis_manifest.json,DATE_LEVEL_UNCERTAINTY_ANALYSIS_COMPLETE,False,,
data/manifests/14_final_empirical_synthesis_manifest.json,FINAL_EMPIRICAL_SYNTHESIS_COMPLETE,False,pooled_empirical_residual,empirical_residual
