path,bytes,sha256
FINAL_PIPELINE_STATUS.md,591,1c4d3d55c5e2a8c0b3b15970124c4dc5d17460de762ecd41b4ac3a00a8a95fe7
README.md,2274,87ebb84e3c18396c13b6e534d33b7efbb4e8ab4aad52ed4e925c9c74c0e717b2
config/analysis.yaml,1357,217694c6abe2e2520b8a8b93a390f60ed141af506126272d29d26e3e0a0589c9
config/categorical_evaluation_spec.yaml,1182,3b1cccc16964f02da11f7e81d28cac8abceec0ded30f114df20f4666505cc357
config/chronology_policy.yaml,2283,4046f6a6cba21ad26b4feeb2a9b4d8a17273ac453ac327ac27f5057e76e0f773
config/continuous_calibration_spec.yaml,1454,49b70d75da9012c7ac9bbc5bad1176a9010f3330964ae72ded48d8dd3f1f3c37
config/continuous_evaluation_spec.yaml,2001,f958c9bf0a4a318a781b5599c7b2ad6192d022464d79fdd6c227ac8a26cabdca
config/data_sources.yaml,1681,5c3e0108686ec2e8b23d47e1742441c08826f6c0698baa050fd899444fdba221
config/event_probability_construction_spec.yaml,1468,f8a56184906a9c938348381a32c6540b9cc01a3f1dec5a1a874684b083ee0c19
config/final_empirical_config.json,18928,ef33cd5bd5e1f30537329a09579e438a12dfa08a6a784b9e9f925b1b23146571
config/final_empirical_synthesis_spec.yaml,2074,bf1833f837f3a390ff9e4fa0b7810adc40a5dcb56caed2542a4cb570d2a43cc6
config/locked_prediction_spec.yaml,1212,803d9b57c4dcdbf0941959bfdb2fc315b958412088f55d72c58427ee04e579a1
config/market_comparison_spec.yaml,1202,585e35beee4a8274c7dcf84ced8adb25e5805e7d0800e58af3e5bef5e7db09e6
config/models.yaml,1014,c3eb681ccb813b992cf79e13bbd2e8522e1e3cc4df3526b7422069d422dbda56
config/notebook02.yaml,1129,d1f832f9d52e9dabf48e312397ad922da57aa9da70b785d7f6d9c9b34d782a65
config/probabilistic_model_spec.yaml,3236,e4466365b8b9b6398b7eeab0baf7e54317956abaa26b90ce9aef7be7cd3719cf
config/probability_regularisation_spec.yaml,1748,f921bda091fc6f32a9fa706c4fe273ce5e488610d427a8b5ccc83adad77584d4
config/reproducibility_release_spec.yaml,1218,b1d50f20adf122f1924e38a34a8cc03518cacd32acace36d8e0e5431fdc3bf9a
config/thesis_evidence_spec.yaml,1338,c256f33464426a06e18ad6f02f0e989e5e6fa802277a06adc5a87de20a72eb25
config/trading_strategy_spec.yaml,1544,46985cb32630f5de3e14615ba35adbd89d96548cba7ab95be090dfb1efd06611
config/uncertainty_analysis_spec.yaml,1920,ec2797ae37a24c47fa617f99d74fe32281131812ba72fe3dba9ac68a6569bc13
config/v2/gp_training_design_spec.json,999,df0dd8aef1378c1a3e4002d658a94bc7ba2626b1a182ea5a892aff1742aa0cdd
config/v2/gp_validation_spec.json,2395,0096ee058a0066bccdf6621ee5fcb1e54d50be8bb044b96f5f2fc6e3634ab7e7
config/v2/hko_daily_max_temperature_spec.json,771,e073741d178de8b39b02d7182a2716b7ee50212ca5ebecbe4795d5e4d8493a4b
config/v2/phase10_gp_market_comparison_spec.json,1835,486f73419d7e96adacbc5616761850e2d27e5db3bd3c1ce3cfdbbfb107a22e37
config/v2/phase11_frozen_value_gap_trading_spec.json,2500,bd212ebc9be2bc176d5f9f73d653624ee158596cecc73e812afa86171612d71e
config/v2/phase12_robustness_attribution_spec.json,2536,2fbaa77d941ec14632618a7756cc73da716efd3b7c17805efa86c90e1d5875a3
config/v2/phase13_verified_evidence_pack_spec.json,299,b39a5a81957df803de8e74399181fdfeb86f200882a8be4c352495ab1339f5ee
config/v2/phase1_scope.yaml,2779,9d488d3130263c3f0ade2d9a6546dd586c7158168283ba5540bed227031af09c
config/v2/phase8_clean_gp_spec.json,1827,9cfc34858ebc680eb315eea5982dcc5d1a174c15576be09f85d80e3bbd5cc091
config/v2/phase9_gp_event_probability_spec.json,1462,dad23fe5babce2a03eb0749c6f87cfb4cd6b87df99698c8aa668ed13601fbcf5
config/v2/single_runs_pilot_spec.json,1816,4667d582487494dc6a6564b7759f4deaa34bd09a8f9379c0c40bbbf04cb4a796
config/v2/two_year_repair_spec.json,751,fc60daf0e5111539fa14d721ef7ce9196ee575b01926709c7eca7fcbc64f5f20
config/v2/two_year_request_plan_spec.json,2120,65e089f1bce5e93e61b87b85dcad85bdb7fb1a5dff9613fd97005a2c3128ee14
config/v2/two_year_retrieval_spec.json,1595,b2323d188699e3f78e85b17f9349a313b8fbd29dfa6016816ca87ddfb28bde08
config/v2/weather_only_decision_support_spec.json,829,a1241085dcbdeb9831d6e5dd1affb37d8c025c075e95d72c6e2d9444784f41ab
config/v2/weather_only_residual_spec.json,720,dfbb4bdc6aaf85c118c70e521aa595d682654e50e926a000e5dd640b06c0d0fb
config/v2_completion/phase14_scope.json,2012,60890f30a4e1f579d63b82eb380495a2b284123333ac85ba5aee442546a6f0ac
config/v2_completion/phase15_gp_implementation_spec.json,4558,c672815fe6412dc8256b21052788e50f03d759c2857eb569958d6a94527cffc3
config/v2_completion/phase16_static_benchmark_spec.json,2978,3c7eb355b658d2e57b0e60860a7b32e27b7706a53e776fc539e5da470bf3db21
config/v2_completion/phase17_error_missing_support_spec.json,3516,41169eff4adee6cb46beb28bdd3543dbb1ed5892ccb4d3c348f48ce2e484763d
config/v2_completion/phase18_gp_stability_spec.json,4961,8140048a22a6e8d23df5fe9367c4ba4f18d29d2c61ca358e860d934a34c05d86
config/v2_completion/phase19_predictive_diagnostics_spec.json,19833,5475c41384f269988a97535e301429536e9e7862ca8b980dd621d20c2a8499c0
config/v2_completion/phase20_forecast_combination_spec.json,17575,c9d83dca328c591b623cb78192139dc4e7122a45c1720df20ca61564eefd4491
