inventory_index,historical_path,filename,size_bytes,first_heading,total_cells,code_cells,markdown_cells,executed_code_cells,cells_with_outputs,top_level_imports,status,canonical_notebook,canonical_module,migration_action,rationale
1,notebooks/01_polymarket_api_exploration.ipynb,01_polymarket_api_exploration.ipynb,123356,01 Polymarket API Exploration,26,16,10,16,15,datetime; json; os; pandas; pprint; requests,ARCHIVE_ONLY,None,None,Do not migrate,"Early API exploration, threshold classification, single-market analysis, preliminary scoring or obsolete trading work."
2,notebooks/02_weather_data_exploration.ipynb,02_weather_data_exploration.ipynb,73372,02 Weather Data Exploration,25,13,12,12,11,datetime; json; os; pandas; pprint; re; requests,ARCHIVE_ONLY,None,None,Do not migrate,"Early API exploration, threshold classification, single-market analysis, preliminary scoring or obsolete trading work."
3,notebooks/03_single_market_mini_pipeline.ipynb,03_single_market_mini_pipeline.ipynb,90048,03 Single-Market Mini-Pipeline,29,16,13,16,15,datetime; json; math; os; pandas; pprint; re; requests,ARCHIVE_ONLY,None,None,Do not migrate,"Early API exploration, threshold classification, single-market analysis, preliminary scoring or obsolete trading work."
4,notebooks/04_aifs_ecmwf_output_check.ipynb,04_aifs_ecmwf_output_check.ipynb,54152,04 AIFS / ECMWF Output Check,22,9,13,9,7,datetime; ecmwf; json; os; pandas; pathlib; requests; subprocess; sys; xarray,ARCHIVE_ONLY,None,None,Do not migrate,"Early API exploration, threshold classification, single-market analysis, preliminary scoring or obsolete trading work."
5,notebooks/05_nvidia_earth2_availability_check.ipynb,05_nvidia_earth2_availability_check.ipynb,34527,05 NVIDIA Earth-2 / FourCastNet Availability Check,16,7,9,7,6,datetime; json; os; pandas; pathlib; requests; shutil; subprocess; sys,ARCHIVE_ONLY,None,None,Do not migrate,"Early API exploration, threshold classification, single-market analysis, preliminary scoring or obsolete trading work."
6,notebooks/06_nvidia_earth2_colab_feasibility.ipynb,06_nvidia_earth2_colab_feasibility.ipynb,76415,NVIDIA Earth 2 / FourCastNet Colab Feasibility Check,19,16,3,16,16,datetime; earth2studio; pandas; pkgutil; platform; subprocess; sys; torch,ARCHIVE_ONLY,None,None,Do not migrate,"Early API exploration, threshold classification, single-market analysis, preliminary scoring or obsolete trading work."
7,notebooks/07_hko_settlement_source_retrieval.ipynb,07_hko_settlement_source_retrieval.ipynb,63685,07 Hong Kong Observatory Settlement Source Retrieval,20,11,9,11,11,datetime; io; pandas; pathlib; re; requests,ARCHIVE_ONLY,None,None,Do not migrate,"Early API exploration, threshold classification, single-market analysis, preliminary scoring or obsolete trading work."
8,notebooks/08_time_alignment_and_lead_time_framework.ipynb,08_time_alignment_and_lead_time_framework.ipynb,249818,08 Time Alignment and Lead Time Framework,23,11,12,11,10,ast; datetime; io; json; numpy; pandas; pathlib; requests; zoneinfo,ARCHIVE_ONLY,None,None,Do not migrate,"Early API exploration, threshold classification, single-market analysis, preliminary scoring or obsolete trading work."
9,notebooks/09_threshold_classification_dataset.ipynb,09_threshold_classification_dataset.ipynb,297962,09 Threshold Classification Dataset,24,11,13,11,10,ast; datetime; io; json; numpy; pandas; pathlib; re; requests; zoneinfo,ARCHIVE_ONLY,None,None,Do not migrate,"Early API exploration, threshold classification, single-market analysis, preliminary scoring or obsolete trading work."
10,notebooks/10_baseline_threshold_classifier.ipynb,10_baseline_threshold_classifier.ipynb,194455,10 Baseline Threshold Classifier,24,12,12,12,11,datetime; io; numpy; pandas; pathlib; re; requests; sklearn; warnings,ARCHIVE_ONLY,None,None,Do not migrate,"Early API exploration, threshold classification, single-market analysis, preliminary scoring or obsolete trading work."
11,notebooks/11_raw_weather_forecast_benchmark.ipynb,11_raw_weather_forecast_benchmark.ipynb,263839,11 Raw Weather Forecast Benchmark,24,12,12,12,11,datetime; io; numpy; pandas; pathlib; re; requests; zoneinfo,ARCHIVE_ONLY,None,None,Do not migrate,"Early API exploration, threshold classification, single-market analysis, preliminary scoring or obsolete trading work."
