family,comparison,estimate,estimate_type,mbb_ci95_lower,mbb_ci95_upper,mbb_p_two_sided,holm_p,holm_reject_5pct,dependence_sensitive_5pct,interpretation,inference_status,sampling_unit,primary_dependence_method
portfolio_profitability,fixed_settlement:raw vs 0,0.39700000000000096,total external net PnL,-4.01505,4.809050000000001,0.8729127087291271,0.8729127087291271,False,False,Not statistically resolved under the 7-date moving-block bootstrap after Holm correction.,EXPLORATORY_EXTENSION,settlement_date,7-consecutive-common-support-date moving-block bootstrap
portfolio_profitability,fixed_settlement:static vs 0,2.2810000000000006,total external net PnL,-0.4070499999999984,4.969049999999999,0.0857914208579142,0.31596840315968405,False,False,Not statistically resolved under the 7-date moving-block bootstrap after Holm correction.,EXPLORATORY_EXTENSION,settlement_date,7-consecutive-common-support-date moving-block bootstrap
portfolio_profitability,fixed_settlement:rbf vs 0,2.2810000000000006,total external net PnL,-0.39404999999999885,4.95605,0.08189181081891811,0.31596840315968405,False,False,Not statistically resolved under the 7-date moving-block bootstrap after Holm correction.,EXPLORATORY_EXTENSION,settlement_date,7-consecutive-common-support-date moving-block bootstrap
portfolio_profitability,fixed_settlement:matern32 vs 0,2.4510000000000005,total external net PnL,-0.23999999999999905,5.1419999999999995,0.07899210078992101,0.31596840315968405,False,False,Not statistically resolved under the 7-date moving-block bootstrap after Holm correction.,EXPLORATORY_EXTENSION,settlement_date,7-consecutive-common-support-date moving-block bootstrap
portfolio_profitability,taec11:raw vs 0,-6.260999999999999,total external net PnL,-9.545224999999993,-2.976775000000005,9.999000099990002e-05,0.0007999200079992001,True,False,Statistically resolved negative effect under the 7-date moving-block bootstrap after Holm correction.,EXPLORATORY_EXTENSION,settlement_date,7-consecutive-common-support-date moving-block bootstrap
portfolio_profitability,taec11:static vs 0,-5.349499999999999,total external net PnL,-10.093024999999997,-0.6059749999999996,0.0292970702929707,0.1464853514648535,False,False,Not statistically resolved under the 7-date moving-block bootstrap after Holm correction.,EXPLORATORY_EXTENSION,settlement_date,7-consecutive-common-support-date moving-block bootstrap
portfolio_profitability,taec11:rbf vs 0,-6.0335,total external net PnL,-10.461549999999994,-1.6054500000000071,0.008899110088991101,0.06229377062293771,False,False,Not statistically resolved under the 7-date moving-block bootstrap after Holm correction.,EXPLORATORY_EXTENSION,settlement_date,7-consecutive-common-support-date moving-block bootstrap
portfolio_profitability,taec11:matern32 vs 0,-5.3549999999999995,total external net PnL,-9.668624999999997,-1.041375000000002,0.0163983601639836,0.0983901609839016,False,False,Not statistically resolved under the 7-date moving-block bootstrap after Holm correction.,EXPLORATORY_EXTENSION,settlement_date,7-consecutive-common-support-date moving-block bootstrap
within_strategy_model_pairwise,fixed_settlement: raw - static,-1.8839999999999997,paired total PnL difference,-7.9925250000000005,4.224525000000002,0.5592440755924407,1.0,False,False,Not statistically resolved under the 7-date moving-block bootstrap after Holm correction.,EXPLORATORY_EXTENSION,settlement_date,7-consecutive-common-support-date moving-block bootstrap
within_strategy_model_pairwise,fixed_settlement: raw - rbf,-1.8839999999999997,paired total PnL difference,-8.109,4.340999999999999,0.5694430556944305,1.0,False,False,Not statistically resolved under the 7-date moving-block bootstrap after Holm correction.,EXPLORATORY_EXTENSION,settlement_date,7-consecutive-common-support-date moving-block bootstrap
within_strategy_model_pairwise,fixed_settlement: raw - matern32,-2.0539999999999994,paired total PnL difference,-8.26355,4.15555,0.5286471352864713,1.0,False,False,Not statistically resolved under the 7-date moving-block bootstrap after Holm correction.,EXPLORATORY_EXTENSION,settlement_date,7-consecutive-common-support-date moving-block bootstrap
within_strategy_model_pairwise,fixed_settlement: static - rbf,0.0,paired total PnL difference,0.0,0.0,1.0,1.0,False,False,Not statistically resolved under the 7-date moving-block bootstrap after Holm correction.,EXPLORATORY_EXTENSION,settlement_date,7-consecutive-common-support-date moving-block bootstrap
within_strategy_model_pairwise,fixed_settlement: static - matern32,-0.1699999999999998,paired total PnL difference,-0.33999999999999964,5.2909066017292616e-17,0.23847615238476152,1.0,False,False,Not statistically resolved under the 7-date moving-block bootstrap after Holm correction.,EXPLORATORY_EXTENSION,settlement_date,7-consecutive-common-support-date moving-block bootstrap
within_strategy_model_pairwise,fixed_settlement: rbf - matern32,-0.1699999999999998,paired total PnL difference,-0.33999999999999964,5.2909066017292616e-17,0.23807619238076191,1.0,False,False,Not statistically resolved under the 7-date moving-block bootstrap after Holm correction.,EXPLORATORY_EXTENSION,settlement_date,7-consecutive-common-support-date moving-block bootstrap
within_strategy_model_pairwise,taec11: raw - static,-0.9114999999999989,paired total PnL difference,-6.242524999999998,4.419525000000001,0.7506249375062494,1.0,False,False,Not statistically resolved under the 7-date moving-block bootstrap after Holm correction.,EXPLORATORY_EXTENSION,settlement_date,7-consecutive-common-support-date moving-block bootstrap
within_strategy_model_pairwise,taec11: raw - rbf,-0.22749999999999868,paired total PnL difference,-5.4160749999999975,4.961075,0.9378062193780622,1.0,False,False,Not statistically resolved under the 7-date moving-block bootstrap after Holm correction.,EXPLORATORY_EXTENSION,settlement_date,7-consecutive-common-support-date moving-block bootstrap
within_strategy_model_pairwise,taec11: raw - matern32,-0.9059999999999984,paired total PnL difference,-6.059574999999997,4.247575,0.7362263773622638,1.0,False,False,Not statistically resolved under the 7-date moving-block bootstrap after Holm correction.,EXPLORATORY_EXTENSION,settlement_date,7-consecutive-common-support-date moving-block bootstrap
within_strategy_model_pairwise,taec11: static - rbf,0.6840000000000002,paired total PnL difference,0.2244750000000003,1.1435250000000001,0.006999300069993001,0.041995800419958006,True,False,Statistically resolved positive effect under the 7-date moving-block bootstrap after Holm correction.,EXPLORATORY_EXTENSION,settlement_date,7-consecutive-common-support-date moving-block bootstrap
within_strategy_model_pairwise,taec11: static - matern32,0.0055000000000000465,paired total PnL difference,-0.5664999999999998,0.5774999999999998,0.989001099890011,1.0,False,False,Not statistically resolved under the 7-date moving-block bootstrap after Holm correction.,EXPLORATORY_EXTENSION,settlement_date,7-consecutive-common-support-date moving-block bootstrap
