phase,relative_path,rows,columns,recommended_placement,rationale,sha256
14,outputs/v2_completion/phase14_count_checks.csv,16,6,REVIEW,Retain only when it directly answers a research question.,ac66ad754509a65c0172b3b503f8c2eb25fc29ddbde551db2c2388db88c83bb0
14,outputs/v2_completion/phase14_gap_register.csv,17,7,REVIEW,Retain only when it directly answers a research question.,7a673b895d4f1c956b68a4da79abbecb2847050f87fc22208a1263d792a86239
14,outputs/v2_completion/phase14_headline_checks.csv,18,9,REVIEW,Retain only when it directly answers a research question.,8c6344251adb08f89690bde195576faf4300e87236265590f2d3ce05c9b31a43
14,outputs/v2_completion/phase14_headline_diagnostics.csv,0,7,REVIEW,Retain only when it directly answers a research question.,50cda834ce0910fafe17774f67a6593d6e5db60582c25426332c5d4bbe62e80c
14,outputs/v2_completion/phase14_panel_candidates.csv,97,13,REVIEW,Retain only when it directly answers a research question.,20560d8614318b4f1b25bc9c81da27c694d79906645913092a669f73bbe9891c
14,outputs/v2_completion/phase14_source_inventory.csv,132,6,APPENDIX_OR_REPOSITORY,Important for auditability or diagnostics but usually too detailed for the main text.,49737d11a6be394b65e2c81e82083e8d5205a5e7942b5fd8a5f74557828c8ee3
15,outputs/v2_completion/phase15_ast_call_registry.csv,10,5,APPENDIX_OR_REPOSITORY,Important for auditability or diagnostics but usually too detailed for the main text.,3f4245513269f7d77abef57de12edceeb84596c54ac145a4faa8cb6e8dc855c9
15,outputs/v2_completion/phase15_crps_reconciliation.csv,2,14,REVIEW,Retain only when it directly answers a research question.,cb9805f0bad08233409458c466adf65ccb20418a6091459ff9f7a7ffb8acd920
15,outputs/v2_completion/phase15_feature_transformations.csv,16,14,REVIEW,Retain only when it directly answers a research question.,48b666f08c76ab329cc5d75f024e285c911b73246a5636b64cc62b29f44158dc
15,outputs/v2_completion/phase15_fold_model_registry.csv,32,11,APPENDIX_OR_REPOSITORY,Important for auditability or diagnostics but usually too detailed for the main text.,e78936556a72bf5a66be932bffe9603304ef7e4eb3e20d5921fe73c1af0b1e3f
15,outputs/v2_completion/phase15_full_fit_model_registry.csv,4,25,APPENDIX_OR_REPOSITORY,Important for auditability or diagnostics but usually too detailed for the main text.,b381d5d74b304e68a873dfbb929d783ee114d0e272fe815f0b29cf55542d5df1
15,outputs/v2_completion/phase15_gap_updates.csv,4,5,REVIEW,Retain only when it directly answers a research question.,85c29289d8197ebdf36157fd38dac0b9fb1a393744e51b7b327ee1e658375f9e
15,outputs/v2_completion/phase15_source_evidence.csv,158,5,APPENDIX_OR_REPOSITORY,Important for auditability or diagnostics but usually too detailed for the main text.,098605b6f0c0e114e833244c0c0741a3401fe1698c504ca3a164419d6558979a
15,outputs/v2_completion/phase15_variance_reconciliation.csv,4,17,REVIEW,Retain only when it directly answers a research question.,c62c24344c502abf2b34db84404a80e92ba50fab9a1f82d571b54f8930aec351
16,outputs/v2_completion/phase16_date_level_model_losses.csv,1460,4,REVIEW,Retain only when it directly answers a research question.,168419c77aa27a30d19695b885f78804a538a215defc9489a99e900529f2128d
16,outputs/v2_completion/phase16_gap_updates.csv,2,5,REVIEW,Retain only when it directly answers a research question.,412a142f2bf9e5bd2621b5667e18b3ca8e34de602e4519d910f613c299948a8a
16,outputs/v2_completion/phase16_model_scores_by_block.csv,16,9,REVIEW,Retain only when it directly answers a research question.,e83e478f61af25ce3a3281970673202e8a7df278d0c54bc3d95c9b3ee21af9b3
16,outputs/v2_completion/phase16_model_scores_by_rule.csv,16,8,REVIEW,Retain only when it directly answers a research question.,b8295f099b4f4dd4ec806d8c8651a5d1d4a56fbf6635abf882fd8cc55916da79
16,outputs/v2_completion/phase16_model_scores_overall.csv,4,12,MAIN_TEXT_CANDIDATE,Condense to the rows and columns needed for the central argument.,327fd9c449d1dc1ba652c5c92e40cc15a6fbfbea22226a57076fe43921606199
16,outputs/v2_completion/phase16_paired_model_differences.csv,20,14,MAIN_TEXT_CANDIDATE,Condense to the rows and columns needed for the central argument.,f27961b994ae6b0e0a5a506b4620ed741d01e6fcd3e414f57b4e2a58888cd5d1
16,outputs/v2_completion/phase16_static_event_probability_scores.csv,16,11,REVIEW,Retain only when it directly answers a research question.,770170cd787f71e20e683a622f17ade659f111e40b4f8eecaf2a12fb022b2259
16,outputs/v2_completion/phase16_static_parameter_registry.csv,20,13,APPENDIX_OR_REPOSITORY,Important for auditability or diagnostics but usually too detailed for the main text.,671d894138a36cbb529b212c5f6afb23133f9398629e6c5383de2b2839bb8a89
17,outputs/v2_completion/phase17_error_by_validation_block.csv,16,11,REVIEW,Retain only when it directly answers a research question.,997cfc19baf299b1b2a2accf06446b0bdfe5554b4faeb82428af137499908fe3
17,outputs/v2_completion/phase17_error_variance_decomposition.csv,4,9,REVIEW,Retain only when it directly answers a research question.,cfaac07ed74192c7c770d4797758a249ff0968e0d8ccd58be3cf24af1ebec876
17,outputs/v2_completion/phase17_gap_updates.csv,2,5,REVIEW,Retain only when it directly answers a research question.,8657a2d8e991f132dacae9a63ba7af03cf28eabfb72f08704886eaaf2fefc164
17,outputs/v2_completion/phase17_missing_key_registry.csv,37,10,APPENDIX_OR_REPOSITORY,Important for auditability or diagnostics but usually too detailed for the main text.,34fbf08b5ec65b595d121a0a12f9f657d2637c5151deaa32ae9101db3b6a5c12
17,outputs/v2_completion/phase17_missing_pattern_summary.csv,9,6,APPENDIX_OR_REPOSITORY,Important for auditability or diagnostics but usually too detailed for the main text.,6ff222499f1d26c9c240362b1c8698ea48644188d092fe6a74a0601cfbb8d5f5
17,outputs/v2_completion/phase17_pairwise_rule_differences.csv,6,13,REVIEW,Retain only when it directly answers a research question.,fb3fcdf17b1e5b1abe1581600ec1d32f62b87cc1a0296dc67cbcdaf79fca4640
17,outputs/v2_completion/phase17_rule_error_correlations.csv,32,5,REVIEW,Retain only when it directly answers a research question.,214b5fda136286ff6d5c6187d3c0a0f0a43290027a0cc177cd7def84e85af9a4
17,outputs/v2_completion/phase17_rule_error_summary.csv,4,25,MAIN_TEXT_CANDIDATE,Condense to the rows and columns needed for the central argument.,05d33d8366bd26904fed66cbc8b2b4a2b23d09209d6020ee121bce4ee16dd8f8
17,outputs/v2_completion/phase17_rule_rank_diagnostics.csv,2,9,REVIEW,Retain only when it directly answers a research question.,21a7a72399f9a0154199606149ea1514ccc8be2c6edb20d0ba811e60c2c9b1f9
17,outputs/v2_completion/phase17_support_by_date.csv,103,7,REVIEW,Retain only when it directly answers a research question.,84de01f6e16afa7eadfee6cc6d443d901a12a4c0935e8bd818f2c9690b200e65
17,outputs/v2_completion/phase17_support_by_rule_period.csv,8,6,REVIEW,Retain only when it directly answers a research question.,45e4d4b8737aa8051dae8eeeb03eff7b7a106260b0dda200c33e2f93507c5ad4
18,outputs/v2_completion/phase18_feature_response_duplicate_audit.csv,2552,8,REVIEW,Retain only when it directly answers a research question.,45a7e2e874c42bd952982f2fd85fb1b6d4d90c039e89cbff62f5220c8e45ae92
18,outputs/v2_completion/phase18_gap_updates.csv,2,5,REVIEW,Retain only when it directly answers a research question.,5237e46221dfb9e675b40f2a419b9f50e3e123f12bf7e2d03f5241f203a0c97d
18,outputs/v2_completion/phase18_gp_fold_hyperparameters.csv,32,25,APPENDIX_OR_REPOSITORY,Important for auditability or diagnostics but usually too detailed for the main text.,d254c787718e59a74e9ed3de8020f595983442d3362c6331e2b166d05833bcfd
18,outputs/v2_completion/phase18_gp_full_fit_hyperparameters.csv,4,13,APPENDIX_OR_REPOSITORY,Important for auditability or diagnostics but usually too detailed for the main text.,82939e10ca2d334481471d1e8f7e68bbc53e58bc3a81e2c634f8d1ad658b8519
18,outputs/v2_completion/phase18_gp_hyperparameter_stability.csv,8,27,APPENDIX_OR_REPOSITORY,Important for auditability or diagnostics but usually too detailed for the main text.,cf400bdf5e8aaaa136a4d4df5ca741d533bf9f669445c7d9110b1e0f65ec76cd
18,outputs/v2_completion/phase18_model_rank_stability.csv,4,9,REVIEW,Retain only when it directly answers a research question.,24859275d8849c87b1b62d124ab5252309b214f04b8694e25476e704508ee0cc
18,outputs/v2_completion/phase18_model_scores_by_block.csv,16,14,REVIEW,Retain only when it directly answers a research question.,1c311d6a8e4ae953b5cd771c56390424eba222a4468b1568a0ca8f40aea8a2c7
18,outputs/v2_completion/phase18_model_scores_by_rule.csv,16,12,REVIEW,Retain only when it directly answers a research question.,70047804cc16768913c12775551324e9066f2e845a90eb98c08ba29934d07ff0
18,outputs/v2_completion/phase18_model_scores_by_rule_block.csv,64,14,REVIEW,Retain only when it directly answers a research question.,49f9e3316ea17934b8fe8a4f539e7c09e7643198a74b28a01659f6439742df36
18,outputs/v2_completion/phase18_paired_model_differences.csv,100,14,MAIN_TEXT_CANDIDATE,Condense to the rows and columns needed for the central argument.,96ff8213638b9c0595213396251feac00a67dae156b0f5193351fd102e2a2448
18,outputs/v2_completion/phase18_replay_prediction_reconciliation.csv,119,5,REVIEW,Retain only when it directly answers a research question.,f47d190052b40042851ba7531b844a23d554824dcad97abe4834a83e2516c509
