check,passed,critical,detail
required_columns,True,True,missing=[]
expected_rows,True,True,rows=2920
expected_dates,True,True,dates=730
expected_rules,True,True,"rules=['12h_prior', '24h_prior', '6h_prior', 'event_day_open']"
rows_per_rule,True,True,"counts={'24h_prior': 730, '12h_prior': 730, '6h_prior': 730, 'event_day_open': 730}"
unique_date_rule_keys,True,True,duplicate_keys=0
residual_identity,True,True,max_absolute_error=8.882e-16
forecast_error_identity,True,True,max_absolute_error=8.882e-16
absolute_error_identity,True,True,max_absolute_error=0.000e+00
squared_error_identity,True,True,max_absolute_error=7.105e-15
all_support_available,True,True,false_rows=0
all_complete_local_day,True,True,false_rows=0
all_issued_before_decision,True,True,false_rows=0
no_market_price_accessed,True,True,true_rows=0
no_outcome_accessed,True,True,true_rows=0
no_model_fitted,True,True,true_rows=0
no_model_selected,True,True,true_rows=0
no_calibration_selected,True,True,true_rows=0
no_trading_returns_calculated,True,True,true_rows=0
phase1_critical_checks_passed,True,True,critical_failures=0
phase1_static_parameter_crosscheck,True,True,max_abs_bias_difference=2.887e-15; max_abs_sd_difference=8.882e-16; max_within_rule_bias_spread=1.066e-14; max_within_rule_sd_spread=0.000e+00; failed_rules=[]
bootstrap_methods_present,True,True,"methods=['circular_moving_block', 'ordinary_date']"
moving_block_lengths_present,True,True,
all_primary_scopes_present,True,True,"scopes=['12h_prior', '24h_prior', '6h_prior', 'event_day_open', 'pooled_all_rules']"
phase17_crosscheck,True,True,max_abs_difference=2.220e-16
figures_created,True,True,figures=7
