analysis,transition,early_residual_magnitude_quartile,dates,mean_revision_c,mean_absolute_revision_c,mean_absolute_error_improvement_c,improved_date_fraction,directionally_correct_fraction_among_updates
by_early_error_magnitude_quartile,12h_to_6h,Q1,183,-0.020218579234972674,0.03333333333333336,-0.016939890710382502,0.01639344262295082,0.75
by_early_error_magnitude_quartile,12h_to_6h,Q2,182,-0.04395604395604392,0.0483516483516483,-0.01868131868131864,0.02197802197802198,0.38461538461538464
by_early_error_magnitude_quartile,12h_to_6h,Q3,182,0.017032967032967,0.03461538461538464,0.014835164835164812,0.03296703296703297,0.6
by_early_error_magnitude_quartile,12h_to_6h,Q4,183,0.0038251366120218345,0.022404371584699462,0.0038251366120218345,0.03278688524590164,0.5
by_early_error_magnitude_quartile,12h_to_open,Q1,183,-0.16775956284152993,0.4846994535519124,-0.25081967213114764,0.2786885245901639,0.5163398692810458
by_early_error_magnitude_quartile,12h_to_open,Q2,182,-0.13131868131868119,0.5148351648351648,-0.009340659340659063,0.46703296703296704,0.5393939393939394
by_early_error_magnitude_quartile,12h_to_open,Q3,182,0.08076923076923065,0.48406593406593396,0.14230769230769225,0.532967032967033,0.6178343949044586
by_early_error_magnitude_quartile,12h_to_open,Q4,183,0.23715846994535514,0.49071038251366095,0.2885245901639344,0.5628415300546448,0.6645161290322581
by_early_error_magnitude_quartile,24h_to_12h,Q1,183,-0.18469945355191264,0.473224043715847,-0.23387978142076515,0.2786885245901639,0.5563380281690141
by_early_error_magnitude_quartile,24h_to_12h,Q2,182,0.011538461538461449,0.44999999999999996,0.06208791208791201,0.532967032967033,0.6369426751592356
by_early_error_magnitude_quartile,24h_to_12h,Q3,182,0.048351648351648346,0.4417582417582418,0.12417582417582422,0.5054945054945055,0.5822784810126582
by_early_error_magnitude_quartile,24h_to_12h,Q4,183,0.21147540983606558,0.5218579234972678,0.2945355191256831,0.6010928961748634,0.7096774193548387
by_early_error_magnitude_quartile,24h_to_6h,Q1,183,-0.21147540983606566,0.49125683060109293,-0.24098360655737716,0.2896174863387978,0.564625850340136
by_early_error_magnitude_quartile,24h_to_6h,Q2,182,0.0005494505494504987,0.4664835164835165,0.06098901098901097,0.5384615384615384,0.6375
by_early_error_magnitude_quartile,24h_to_6h,Q3,182,0.035714285714285664,0.44999999999999996,0.10824175824175826,0.510989010989011,0.5740740740740741
by_early_error_magnitude_quartile,24h_to_6h,Q4,183,0.21857923497267764,0.53224043715847,0.30163934426229516,0.6120218579234973,0.7044025157232704
by_early_error_magnitude_quartile,24h_to_open,Q1,183,-0.26065573770491807,0.576502732240437,-0.2890710382513661,0.2896174863387978,0.5620915032679739
by_early_error_magnitude_quartile,24h_to_open,Q2,182,-0.08571428571428565,0.6054945054945056,0.053846153846153925,0.510989010989011,0.593939393939394
by_early_error_magnitude_quartile,24h_to_open,Q3,182,-0.0016483516483517693,0.5412087912087911,0.15109890109890098,0.5494505494505495,0.6172839506172839
by_early_error_magnitude_quartile,24h_to_open,Q4,183,0.45300546448087436,0.7021857923497268,0.5010928961748635,0.7103825136612022,0.7738095238095238
by_early_error_magnitude_quartile,6h_to_open,Q1,183,-0.14863387978142067,0.4579234972677595,-0.23387978142076513,0.273224043715847,0.5135135135135135
by_early_error_magnitude_quartile,6h_to_open,Q2,182,-0.0879120879120878,0.4725274725274726,0.007692307692307929,0.46153846153846156,0.554140127388535
by_early_error_magnitude_quartile,6h_to_open,Q3,182,0.0521978021978021,0.45329670329670313,0.11593406593406588,0.489010989010989,0.6095890410958904
by_early_error_magnitude_quartile,6h_to_open,Q4,183,0.24644808743169397,0.47377049180327846,0.2978142076502733,0.5519125683060109,0.6870748299319728
