analysis,transition,chronological_block,dates,mean_revision_c,mean_absolute_revision_c,mean_absolute_error_improvement_c,improved_date_fraction,directionally_correct_fraction_among_updates
by_chronological_block,12h_to_6h,1,183,0.0,0.0,0.0,0.0,
by_chronological_block,12h_to_6h,2,182,-0.008241758241758242,0.018131868131868116,-0.003846153846153862,0.01098901098901099,0.375
by_chronological_block,12h_to_6h,3,183,-0.026229508196721315,0.048087431693989116,-0.027322404371584685,0.0273224043715847,0.46153846153846156
by_chronological_block,12h_to_6h,4,182,-0.0087912087912088,0.0725274725274725,0.014285714285714289,0.06593406593406594,0.6363636363636364
by_chronological_block,12h_to_open,1,183,-0.031147540983606378,0.4770491803278689,-0.03224043715846981,0.44808743169398907,0.5176470588235295
by_chronological_block,12h_to_open,2,182,0.05769230769230751,0.48736263736263713,0.02252747252747236,0.47802197802197804,0.6305732484076433
by_chronological_block,12h_to_open,3,183,0.05027322404371581,0.5060109289617486,0.08633879781420777,0.46994535519125685,0.5827814569536424
by_chronological_block,12h_to_open,4,182,-0.05769230769230758,0.5038461538461536,0.093956043956044,0.44505494505494503,0.6118421052631579
by_chronological_block,24h_to_12h,1,183,-0.06010928961748665,0.48633879781420747,0.02295081967213089,0.4644808743169399,0.5590062111801242
by_chronological_block,24h_to_12h,2,182,0.03186813186813197,0.4483516483516483,0.11868131868131884,0.5,0.6689655172413793
by_chronological_block,24h_to_12h,3,183,0.062295081967213284,0.43060109289617476,0.027322404371584768,0.43169398907103823,0.58
by_chronological_block,24h_to_12h,4,182,0.052747252747252636,0.5219780219780221,0.078021978021978,0.521978021978022,0.6858974358974359
by_chronological_block,24h_to_6h,1,183,-0.06010928961748665,0.48633879781420747,0.02295081967213089,0.4644808743169399,0.5590062111801242
by_chronological_block,24h_to_6h,2,182,0.023626373626373726,0.45549450549450554,0.11483516483516498,0.5,0.6666666666666666
by_chronological_block,24h_to_6h,3,183,0.036065573770491965,0.4655737704918032,8.008166079263424e-17,0.43169398907103823,0.5605095541401274
by_chronological_block,24h_to_6h,4,182,0.04395604395604384,0.5329670329670331,0.0923076923076923,0.554945054945055,0.6993865030674846
by_chronological_block,24h_to_open,1,183,-0.09125683060109303,0.5459016393442623,-0.009289617486338922,0.4644808743169399,0.5590062111801242
by_chronological_block,24h_to_open,2,182,0.08956043956043946,0.6543956043956043,0.14120879120879118,0.5439560439560439,0.6666666666666666
by_chronological_block,24h_to_open,3,183,0.11256830601092908,0.5639344262295082,0.11366120218579252,0.5081967213114754,0.6289308176100629
by_chronological_block,24h_to_open,4,182,-0.004945054945054937,0.662087912087912,0.171978021978022,0.5439560439560439,0.6987951807228916
by_chronological_block,6h_to_open,1,183,-0.031147540983606378,0.4770491803278689,-0.03224043715846981,0.44808743169398907,0.5176470588235295
by_chronological_block,6h_to_open,2,182,0.06593406593406576,0.47032967032967016,0.02637362637362622,0.4725274725274725,0.6423841059602649
by_chronological_block,6h_to_open,3,183,0.07650273224043712,0.46994535519125674,0.11366120218579245,0.453551912568306,0.5915492957746479
by_chronological_block,6h_to_open,4,182,-0.048901098901098776,0.4401098901098901,0.0796703296703297,0.4010989010989011,0.6222222222222222
