event_date,decision_rule,_join_token,market_slug_market,group_item_title_market,contract_event_type_v2_market,event_set_v2_market,selected_yes_token_id_market,p_market,Y_event_int_market,hko_tmax_C,price_staleness_hours,market_slug_ecmwf,group_item_title_ecmwf,contract_event_type_v2_ecmwf,event_set_v2_ecmwf,selected_yes_token_id_ecmwf,p_ecmwf_proxy,Y_event_int_ecmwf,forecast_hko_daily_max_C,temperature_error_C,abs_temperature_error_C,selected_run_init_utc,decision_cutoff_utc,market_slug,group_item_title,contract_event_type_v2,event_set_v2,selected_yes_token_id,Y_event_int,Y_mismatch,brier_market_common,brier_ecmwf_common,log_market_common,log_ecmwf_common,delta_brier_market_minus_ecmwf,delta_log_market_minus_ecmwf,calibration_ready,n_train_dates,training_start_date,training_end_date,training_last_outcome_available_utc,bias_correction_C,sigma_mle_C,sigma_used_C,corrected_forecast_hko_daily_max_C,corrected_temperature_error_C,event_lower_C,event_upper_C,p_ecmwf_raw,p_ecmwf_bias_fixed_sigma,p_ecmwf_bias_scale,brier_market,log_market,brier_ecmwf_raw,log_ecmwf_raw,brier_ecmwf_bias_fixed_sigma,log_ecmwf_bias_fixed_sigma,brier_ecmwf_bias_scale,log_ecmwf_bias_scale
2026-04-01,24h_prior,8604720886787485019697790883292245503562985545875997741180261352304494220128,highest-temperature-in-hong-kong-on-april-1-2026-20corbelow,20°C or below,lower_tail_endpoint,"(-infinity, 21)",8604720886787485019697790883292245503562985545875997741180261352304494220128,0.0015,0,27.3,0.9897222222222222,highest-temperature-in-hong-kong-on-april-1-2026-20corbelow,20°C or below,lower_tail_endpoint,"(-infinity, 21)",8604720886787485019697790883292245503562985545875997741180261352304494220128,1.5306267365233772e-06,0,28.0,0.6999999999999993,0.6999999999999993,2026-03-30T06:00:00+00:00,2026-03-30T16:00:00+00:00,highest-temperature-in-hong-kong-on-april-1-2026-20corbelow,20°C or below,lower_tail_endpoint,"(-infinity, 21)",8604720886787485019697790883292245503562985545875997741180261352304494220128,0,False,2.25e-06,2.342818206560204e-12,0.001501126126267,1.5306279078781645e-06,2.249997657181793e-06,0.0014995954983592,False,7,,,,,,,,,-inf,21.0,1.5306267365233772e-06,,,,,,,,,,
2026-04-05,24h_prior,25848404610935488581923593493158080453509930610464714765597544450751655080788,highest-temperature-in-hong-kong-on-april-5-2026-21c,21°C,interior_bin,"[21, 22)",25848404610935488581923593493158080453509930610464714765597544450751655080788,0.004,0,25.7,1.9841666666666664,highest-temperature-in-hong-kong-on-april-5-2026-21c,21°C,interior_bin,"[21, 22)",25848404610935488581923593493158080453509930610464714765597544450751655080788,0.0430939936189997,0,24.4,-1.3000000000000007,1.3000000000000007,2026-04-03T06:00:00+00:00,2026-04-03T16:00:00+00:00,highest-temperature-in-hong-kong-on-april-5-2026-21c,21°C,interior_bin,"[21, 22)",25848404610935488581923593493158080453509930610464714765597544450751655080788,0,False,1.6e-05,0.0018570922860343,0.0040080213975388,0.0440501093005361,-0.0018410922860343,-0.0400420879029972,False,9,,,,,,,,,21.0,22.0,0.0430939936189997,,,,,,,,,,
2026-05-31,24h_prior,87888663996434372288577313546264931734368009246018433667904838473642459781503,highest-temperature-in-hong-kong-on-may-31-2026-29c,29°C,interior_bin,"[29, 30)",87888663996434372288577313546264931734368009246018433667904838473642459781503,0.045,0,30.9,0.9977777777777778,highest-temperature-in-hong-kong-on-may-31-2026-29c,29°C,interior_bin,"[29, 30)",87888663996434372288577313546264931734368009246018433667904838473642459781503,0.2351094847929893,0,30.2,-0.6999999999999993,0.6999999999999993,2026-05-29T06:00:00+00:00,2026-05-29T16:00:00+00:00,highest-temperature-in-hong-kong-on-may-31-2026-29c,29°C,interior_bin,"[29, 30)",87888663996434372288577313546264931734368009246018433667904838473642459781503,0,False,0.002025,0.0552764698396248,0.0460439385014068,0.2680225727743268,-0.0532514698396248,-0.2219786342729199,True,63,2026-03-16,2026-05-28,2026-05-29 16:00:00+00:00,1.7968253968253969,1.1274311655288738,1.1274311655288738,31.996825396825397,1.0968253968253983,29.0,30.0,0.2351094847929893,0.0686941803136546,0.03434055092124455,0.002025,0.046043938501406846,0.055276469839624864,0.2680225727743268,0.0047188904089648905,0.07116757048194691,0.0011792734375745898,0.034944044111014615
2026-04-05,24h_prior,74665723756596504794254788516955728557433668850961942716437300494034489795628,highest-temperature-in-hong-kong-on-april-5-2026-22c,22°C,interior_bin,"[22, 23)",74665723756596504794254788516955728557433668850961942716437300494034489795628,0.014,0,25.7,4.984444444444445,highest-temperature-in-hong-kong-on-april-5-2026-22c,22°C,interior_bin,"[22, 23)",74665723756596504794254788516955728557433668850961942716437300494034489795628,0.1205246531526716,0,24.4,-1.3000000000000007,1.3000000000000007,2026-04-03T06:00:00+00:00,2026-04-03T16:00:00+00:00,highest-temperature-in-hong-kong-on-april-5-2026-22c,22°C,interior_bin,"[22, 23)",74665723756596504794254788516955728557433668850961942716437300494034489795628,0,False,0.000196,0.0145261920175717,0.0140989243795016,0.1284297460702464,-0.0143301920175717,-0.1143308216907448,False,9,,,,,,,,,22.0,23.0,0.1205246531526716,,,,,,,,,,
2026-04-05,24h_prior,15292098526477030809993906300224555310006329210339601132926403923970392573628,highest-temperature-in-hong-kong-on-april-5-2026-23c,23°C,interior_bin,"[23, 24)",15292098526477030809993906300224555310006329210339601132926403923970392573628,0.028,0,25.7,1.9847222222222225,highest-temperature-in-hong-kong-on-april-5-2026-23c,23°C,interior_bin,"[23, 24)",15292098526477030809993906300224555310006329210339601132926403923970392573628,0.2195389656117957,0,24.4,-1.3000000000000007,1.3000000000000007,2026-04-03T06:00:00+00:00,2026-04-03T16:00:00+00:00,highest-temperature-in-hong-kong-on-april-5-2026-23c,23°C,interior_bin,"[23, 24)",15292098526477030809993906300224555310006329210339601132926403923970392573628,0,False,0.000784,0.0481973574218972,0.028399474521698,0.2478704641829422,-0.0474133574218972,-0.2194709896612442,False,9,,,,,,,,,23.0,24.0,0.2195389656117957,,,,,,,,,,
2026-04-05,24h_prior,22074646798189123635520932637727865137601081645580644112018376011577026693799,highest-temperature-in-hong-kong-on-april-5-2026-24c,24°C,interior_bin,"[24, 25)",22074646798189123635520932637727865137601081645580644112018376011577026693799,0.0715,0,25.7,0.9866666666666668,highest-temperature-in-hong-kong-on-april-5-2026-24c,24°C,interior_bin,"[24, 25)",22074646798189123635520932637727865137601081645580644112018376011577026693799,0.2605588311462989,0,24.4,-1.3000000000000007,1.3000000000000007,2026-04-03T06:00:00+00:00,2026-04-03T16:00:00+00:00,highest-temperature-in-hong-kong-on-april-5-2026-24c,24°C,interior_bin,"[24, 25)",22074646798189123635520932637727865137601081645580644112018376011577026693799,0,False,0.0051122499999999,0.0678909044883255,0.0741848981893765,0.301860555298609,-0.0627786544883255,-0.2276756571092324,False,9,,,,,,,,,24.0,25.0,0.2605588311462989,,,,,,,,,,
2026-04-05,24h_prior,104757526012921090233180591680889167265603295056673214860338164056874618029396,highest-temperature-in-hong-kong-on-april-5-2026-25c,25°C,interior_bin,"[25, 26)",104757526012921090233180591680889167265603295056673214860338164056874618029396,0.155,1,25.7,4.984722222222223,highest-temperature-in-hong-kong-on-april-5-2026-25c,25°C,interior_bin,"[25, 26)",104757526012921090233180591680889167265603295056673214860338164056874618029396,0.2015170661941665,1,24.4,-1.3000000000000007,1.3000000000000007,2026-04-03T06:00:00+00:00,2026-04-03T16:00:00+00:00,highest-temperature-in-hong-kong-on-april-5-2026-25c,25°C,interior_bin,"[25, 26)",104757526012921090233180591680889167265603295056673214860338164056874618029396,1,False,0.7140249999999999,0.637574995579171,1.8643301620628905,1.6018812054291949,0.0764500044208289,0.2624489566336958,False,9,,,,,,,,,25.0,26.0,0.2015170661941665,,,,,,,,,,
2026-05-31,24h_prior,32140648137380797606439470021485351119760369331312412735223798816287033671775,highest-temperature-in-hong-kong-on-may-31-2026-28c,28°C,interior_bin,"[28, 29)",32140648137380797606439470021485351119760369331312412735223798816287033671775,0.026,0,30.9,0.9983333333333332,highest-temperature-in-hong-kong-on-may-31-2026-28c,28°C,interior_bin,"[28, 29)",32140648137380797606439470021485351119760369331312412735223798816287033671775,0.1406220211694106,0,30.2,-0.6999999999999993,0.6999999999999993,2026-05-29T06:00:00+00:00,2026-05-29T16:00:00+00:00,highest-temperature-in-hong-kong-on-may-31-2026-28c,28°C,interior_bin,"[28, 29)",32140648137380797606439470021485351119760369331312412735223798816287033671775,0,False,0.000676,0.0197745528377701,0.0263439753396019,0.1515464318576135,-0.0190985528377701,-0.1252024565180115,True,63,2026-03-16,2026-05-28,2026-05-29 16:00:00+00:00,1.7968253968253969,1.1274311655288738,1.1274311655288738,31.996825396825397,1.0968253968253983,28.0,29.0,0.1406220211694106,0.01901007340814609,0.0037328698019412077,0.000676,0.026343975339601977,0.019774552837770167,0.1515464318576135,0.00036138289098310304,0.01919308797932839,1.393431695824459e-05,0.003739854347437366
2026-04-05,24h_prior,26671144574678579633191242731406832933866690980311921251343613122666969078740,highest-temperature-in-hong-kong-on-april-5-2026-26c,26°C,interior_bin,"[26, 27)",26671144574678579633191242731406832933866690980311921251343613122666969078740,0.325,0,25.7,0.9886111111111112,highest-temperature-in-hong-kong-on-april-5-2026-26c,26°C,interior_bin,"[26, 27)",26671144574678579633191242731406832933866690980311921251343613122666969078740,0.1015429725067298,0,24.4,-1.3000000000000007,1.3000000000000007,2026-04-03T06:00:00+00:00,2026-04-03T16:00:00+00:00,highest-temperature-in-hong-kong-on-april-5-2026-26c,26°C,interior_bin,"[26, 27)",26671144574678579633191242731406832933866690980311921251343613122666969078740,0,False,0.105625,0.0103109752655024,0.3930425881096072,0.1070764008435365,0.0953140247344975,0.2859661872660706,False,9,,,,,,,,,26.0,27.0,0.1015429725067298,,,,,,,,,,
2026-04-05,24h_prior,43866549669423541632974893827236151651339018283628336976804309112558024110725,highest-temperature-in-hong-kong-on-april-5-2026-27c,27°C,interior_bin,"[27, 28)",43866549669423541632974893827236151651339018283628336976804309112558024110725,0.385,0,25.7,1.985,highest-temperature-in-hong-kong-on-april-5-2026-27c,27°C,interior_bin,"[27, 28)",43866549669423541632974893827236151651339018283628336976804309112558024110725,0.033320683764183,0,24.4,-1.3000000000000007,1.3000000000000007,2026-04-03T06:00:00+00:00,2026-04-03T16:00:00+00:00,highest-temperature-in-hong-kong-on-april-5-2026-27c,27°C,interior_bin,"[27, 28)",43866549669423541632974893827236151651339018283628336976804309112558024110725,0,False,0.148225,0.0011102679665126,0.4861330111756192,0.0338884660001091,0.1471147320334873,0.45224454517551,False,9,,,,,,,,,27.0,28.0,0.033320683764183,,,,,,,,,,
