decision_rule,metric,model_a,model_b,difference_definition,n_dates,mean_difference,bootstrap_ci_2_5,bootstrap_ci_97_5,lower_score_better,favours_model_a,favours_model_b
24h_prior,brier,ecmwf_bias_fixed_sigma,ecmwf_raw,model_a_minus_model_b,44,-0.018292467032202837,-0.024382610856778213,-0.011545036206576128,True,True,False
24h_prior,log,ecmwf_bias_fixed_sigma,ecmwf_raw,model_a_minus_model_b,44,-0.08815479488773524,-0.11245261968126699,-0.060974743377228066,True,True,False
24h_prior,brier,ecmwf_bias_scale,ecmwf_raw,model_a_minus_model_b,44,-0.019308795224221884,-0.027143171332931006,-0.010337370783477335,True,True,False
24h_prior,log,ecmwf_bias_scale,ecmwf_raw,model_a_minus_model_b,44,-0.09203489053820829,-0.12119654335137489,-0.057623761451693754,True,True,False
24h_prior,brier,market,ecmwf_bias_scale,model_a_minus_model_b,44,0.0015218594311963809,-0.005550467758689424,0.008396515285899027,True,False,False
24h_prior,log,market,ecmwf_bias_scale,model_a_minus_model_b,44,0.003806681300191285,-0.02916679457440023,0.03099976895451849,True,False,False
12h_prior,brier,ecmwf_bias_fixed_sigma,ecmwf_raw,model_a_minus_model_b,45,-0.019273546034094022,-0.02501950530147991,-0.013125722504616197,True,True,False
12h_prior,log,ecmwf_bias_fixed_sigma,ecmwf_raw,model_a_minus_model_b,45,-0.09739747899755585,-0.12022421433038327,-0.0730953334769937,True,True,False
12h_prior,brier,ecmwf_bias_scale,ecmwf_raw,model_a_minus_model_b,45,-0.018542930378606562,-0.02552584739832824,-0.010882559536672687,True,True,False
12h_prior,log,ecmwf_bias_scale,ecmwf_raw,model_a_minus_model_b,45,-0.09713679026996855,-0.11904772701822314,-0.07236695732226714,True,True,False
12h_prior,brier,market,ecmwf_bias_scale,model_a_minus_model_b,45,-0.0007801536738297945,-0.00819730260398861,0.006760060850117754,True,False,False
12h_prior,log,market,ecmwf_bias_scale,model_a_minus_model_b,45,-0.0006581201592020575,-0.026816842004597084,0.02535878555446851,True,False,False
6h_prior,brier,ecmwf_bias_fixed_sigma,ecmwf_raw,model_a_minus_model_b,44,-0.015995027225282395,-0.021399501878069167,-0.00994592028319399,True,True,False
6h_prior,log,ecmwf_bias_fixed_sigma,ecmwf_raw,model_a_minus_model_b,44,-0.07765301958299455,-0.09894119083085179,-0.05444274821486942,True,True,False
6h_prior,brier,ecmwf_bias_scale,ecmwf_raw,model_a_minus_model_b,44,-0.014188002210251962,-0.021490909776380154,-0.006142168733652002,True,True,False
6h_prior,log,ecmwf_bias_scale,ecmwf_raw,model_a_minus_model_b,44,-0.0705358073702599,-0.09696006226339546,-0.036993202057653565,True,True,False
6h_prior,brier,market,ecmwf_bias_scale,model_a_minus_model_b,44,-0.0029226782543144716,-0.013027744229751129,0.006904253354202993,True,False,False
6h_prior,log,market,ecmwf_bias_scale,model_a_minus_model_b,44,-0.010711139507034227,-0.04865585527041097,0.02589025836685158,True,False,False
event_day_open,brier,ecmwf_bias_fixed_sigma,ecmwf_raw,model_a_minus_model_b,48,-0.019028092357201976,-0.02377389495463934,-0.013801781398200924,True,True,False
event_day_open,log,ecmwf_bias_fixed_sigma,ecmwf_raw,model_a_minus_model_b,48,-0.08462112453219119,-0.10440419058497549,-0.06400840817307751,True,True,False
event_day_open,brier,ecmwf_bias_scale,ecmwf_raw,model_a_minus_model_b,48,-0.021191244584249886,-0.027645135015194125,-0.014211087001515634,True,True,False
event_day_open,log,ecmwf_bias_scale,ecmwf_raw,model_a_minus_model_b,48,-0.09110187406558636,-0.11272273275985716,-0.06367603852332546,True,True,False
event_day_open,brier,market,ecmwf_bias_scale,model_a_minus_model_b,48,0.002914146992914181,-0.006799452804619242,0.011863891297286926,True,False,False
event_day_open,log,market,ecmwf_bias_scale,model_a_minus_model_b,48,0.0015701482588441698,-0.027127959465812465,0.02947824568679477,True,False,False
