decision_rule,model,model_label,n,mean_brier,mean_log_score,median_brier,median_log_score,mean_probability,outcome_rate,brier_rank_within_rule,log_rank_within_rule
24h_prior,market,Market,470,0.06820252500000001,0.21438796548462655,0.0001825,0.013592081964078564,0.09529255319148935,0.09361702127659574,3,3
24h_prior,ecmwf_raw,ECMWF raw proxy,470,0.08553875356924205,0.30152539149316293,0.003002161853913448,0.05635025578914311,0.09134047877451822,0.09361702127659574,4,4
24h_prior,ecmwf_bias_fixed_sigma,"ECMWF bias corrected, sigma=1.5",470,0.06733157204490413,0.21351513519979343,0.001012487463633272,0.03233610399406393,0.09047583300271836,0.09361702127659574,2,2
24h_prior,ecmwf_bias_scale,ECMWF bias-and-scale corrected,470,0.06665562877150892,0.21093587926253746,1.3477698134493107e-06,0.0011591420420540026,0.0907740196992357,0.09361702127659574,1,1
12h_prior,market,Market,494,0.06495750101214574,0.20859883287590822,0.00011025000000000001,0.010555513939516587,0.0946983805668016,0.09109311740890688,1,1
12h_prior,ecmwf_raw,ECMWF raw proxy,494,0.08424508029118663,0.30604739681440923,0.003766752182064952,0.0633380389593509,0.09108478324013913,0.09109311740890688,4,4
12h_prior,ecmwf_bias_fixed_sigma,"ECMWF bias corrected, sigma=1.5",494,0.06498179293173904,0.20888716517669212,0.0010951870036557563,0.033652808940961086,0.09109282864479476,0.09109311740890688,2,3
12h_prior,ecmwf_bias_scale,ECMWF bias-and-scale corrected,494,0.065646510335454,0.20881840935768364,1.8110222025095907e-05,0.004264678216431601,0.09109311740829598,0.09109311740890688,3,2
6h_prior,market,Market,483,0.06499044358178055,0.20707111988740753,4.225e-05,0.006521216990265463,0.09408178053830225,0.09109730848861283,1,1
6h_prior,ecmwf_raw,ECMWF raw proxy,483,0.08208876552328549,0.2880426886514238,0.0030013613370536386,0.05634252727430238,0.09109151570808478,0.09109730848861283,4,4
6h_prior,ecmwf_bias_fixed_sigma,"ECMWF bias corrected, sigma=1.5",483,0.06610666570668629,0.2106004372492483,0.0010592512850449236,0.03308754602944795,0.09109699467957134,0.09109730848861283,2,2
6h_prior,ecmwf_bias_scale,ECMWF bias-and-scale corrected,483,0.06782989267859335,0.2171919605705357,6.268563825826292e-06,0.002506849535638657,0.09109730848861268,0.09109730848861283,3,3
event_day_open,market,Market,528,0.06402017234848484,0.19889278973608016,1.6e-05,0.004008021397538822,0.09425189393939394,0.09090909090909091,3,2
event_day_open,ecmwf_raw,ECMWF raw proxy,528,0.08229726993982056,0.28842451554282234,0.003766752182064952,0.0633380389593509,0.09090909090909087,0.09090909090909091,4,4
event_day_open,ecmwf_bias_fixed_sigma,"ECMWF bias corrected, sigma=1.5",528,0.06326917758261859,0.20380339101063116,0.0013347225022900455,0.0372177805365219,0.09090909090909091,0.09090909090909091,2,3
event_day_open,ecmwf_bias_scale,ECMWF bias-and-scale corrected,528,0.061106025355570665,0.19732264147723594,2.45462444713863e-06,0.001567351525309622,0.09090909090909091,0.09090909090909091,1,1
