domain,model,metric,direct_value,frozen_phase19_value,difference,status
coverage,rbf,coverage_0.50,0.44246575342465755,0.4424657534246575,5.551115123125783e-17,matched
coverage,rbf,mean_width_0.50,1.9381296192638857,1.9381296192710276,-7.141842672808707e-12,matched
coverage,rbf,coverage_0.80,0.7678082191780822,0.7678082191780822,0.0,matched
coverage,rbf,mean_width_0.80,3.6825067350155,3.6825067350247256,-9.2255092454252e-12,matched
coverage,rbf,coverage_0.90,0.8691780821917808,0.8691780821917808,0.0,matched
coverage,rbf,mean_width_0.90,4.726446225196912,4.72644622521185,-1.4938272840936406e-11,matched
coverage,matern,coverage_0.50,0.4602739726027397,0.4602739726027397,0.0,matched
coverage,matern,mean_width_0.50,1.9624239636103489,1.9624239636100689,2.799982468104645e-13,matched
coverage,matern,coverage_0.80,0.7828767123287671,0.7828767123287671,0.0,matched
coverage,matern,mean_width_0.80,3.728666747116557,3.728666747114041,2.5162094630104548e-12,matched
coverage,matern,coverage_0.90,0.8808219178082192,0.8808219178082192,0.0,matched
coverage,matern,mean_width_0.90,4.785691959325668,4.785691959323151,2.517097641430155e-12,matched
quantile_calibration,rbf,integrated_absolute_calibration_error,0.02303998893039989,0.0230399889303998,9.020562075079397e-17,matched
quantile_calibration,rbf,root_mean_squared_calibration_error,0.028516055683803665,0.0285160556838036,6.591949208711867e-17,matched
quantile_calibration,rbf,maximum_absolute_calibration_error,0.05602739726027395,0.0560273972602739,4.85722573273506e-17,matched
quantile_calibration,rbf,mean_signed_calibration_error,0.019212674692126747,0.0192126746921267,4.85722573273506e-17,matched
quantile_calibration,matern,integrated_absolute_calibration_error,0.015588764355887644,0.0155887643558876,4.336808689942018e-17,matched
quantile_calibration,matern,root_mean_squared_calibration_error,0.018825506425436043,0.018825506425436,4.163336342344337e-17,matched
quantile_calibration,matern,maximum_absolute_calibration_error,0.032465753424657545,0.0324657534246575,4.85722573273506e-17,matched
quantile_calibration,matern,mean_signed_calibration_error,0.012439463124394626,0.0124394631243946,2.6020852139652106e-17,matched
pit,rbf,mean_pit,0.4808956114872839,0.4808956114872839,0.0,matched
pit,rbf,variance_pit,0.09218007950361272,0.0921800795036127,1.3877787807814457e-17,matched
pit,rbf,ks_statistic,0.05697118827900077,0.0569711882790007,7.632783294297951e-17,matched
pit,rbf,cramer_von_mises_statistic,1.1686370879164982,1.1686370879164982,0.0,matched
pit,rbf,ten_bin_chi_square,28.438356164383563,28.438356164383563,0.0,matched
pit,matern,mean_pit,0.48757695472860396,0.4875769547286039,5.551115123125783e-17,matched
pit,matern,variance_pit,0.08915746166983668,0.0891574616698366,8.326672684688674e-17,matched
pit,matern,ks_statistic,0.034307128785752816,0.0343071287857528,1.3877787807814457e-17,matched
pit,matern,cramer_von_mises_statistic,0.5113982428040402,0.5113982428040402,0.0,matched
pit,matern,ten_bin_chi_square,14.10958904109589,14.10958904109589,0.0,matched
standardised_residual,rbf,mean,-0.07449411743041195,-0.0744941174304119,-5.551115123125783e-17,matched
standardised_residual,rbf,standard_deviation,1.0305268132813563,1.0305268132813563,0.0,matched
standardised_residual,rbf,rmse,1.031806831278595,1.031806831278595,0.0,matched
standardised_residual,rbf,skewness,-0.01000548825240582,-0.0100054882524058,-2.0816681711721685e-17,matched
standardised_residual,rbf,excess_kurtosis,-0.13838070502667987,-0.1383807050266789,-9.71445146547012e-16,matched
standardised_residual,matern,mean,-0.050806920950575915,-0.0508069209505759,-1.3877787807814457e-17,matched
standardised_residual,matern,standard_deviation,1.0049642022113114,1.0049642022113114,0.0,matched
standardised_residual,matern,rmse,1.0048718307781301,1.00487183077813,2.220446049250313e-16,matched
standardised_residual,matern,skewness,-0.036591264092909,-0.036591264092909,0.0,matched
standardised_residual,matern,excess_kurtosis,-0.0851212610247778,-0.0851212610247778,0.0,matched
